location,sbert_relevance_score,zeroshot_relevance_score,relevance_score,latitude,longitude
Naples,0.2849977951496839,0.6033967137336731,0.44419725444167846,40.8358846,14.2487679
Nebraska,0.417006653547287,0.8437798976898193,0.6303932756185532,41.7370229,-99.5873816
Nepal,0.2679919973015785,0.6903944313526154,0.47919321432709694,28.3780464,83.9999901
Netherlands,0.4177410900592804,0.99326913356781,0.7055051118135451,52.2434979,5.6343227
Nicaragua,0.594553279876709,0.9969959735870362,0.7957746267318726,12.6090157,-85.2936911
Niger,0.3272277325391769,0.8253062248229981,0.5762669786810874,17.7356214,9.3238432
Nigeria,0.3943745255470275,0.9899887561798096,0.6921816408634186,9.6000359,7.9999721
Norfolk,0.683663284778595,0.9926486849784852,0.83815598487854,52.666667,1.0
Normandy,0.337500187754631,0.7527334213256835,0.5451168045401573,49.0677708,0.3138532
Norway,0.5904897928237915,0.6463402450084687,0.6184150189161302,61.1529386,8.7876653
Norwich,0.2586200669407844,0.8184603929519654,0.5385402299463748,52.6285576,1.2923954
Nuremberg,0.2865123532712459,0.5552880883216857,0.42090022079646583,49.453872,11.077298
Odessa,0.3355402525514364,0.841067624092102,0.5883039383217692,46.4843023,30.7322878
Oslo,0.1897516347467899,0.4674369394779205,0.32859428711235517,59.9133301,10.7389701
Ottawa,0.2813658416271209,0.770836478471756,0.5261011600494384,45.4208777,-75.6901106
Paisley,0.1036987571045756,0.9391334176063536,0.5214160873554646,55.8455828,-4.4239646
Pakistan,0.3386054128408432,0.8074196517467499,0.5730125322937966,30.3308401,71.247499
Palermo,0.3677885346114635,0.912132716178894,0.6399606253951787,38.1112268,13.3524434
Panama,0.113722014427185,0.5786111712455749,0.34616659283637996,8.559559,-81.1308434
Paris,0.1809770062565803,0.5879878997802734,0.3844824530184269,48.8534951,2.3483915
Parma,0.4657909393310547,0.9477901577949523,0.7067905485630035,44.6952006,10.0979869
Parsons,-0.0004097927361726,0.7241460919380188,0.3618681496009231,37.3407838,-95.2596295
Pasadena,0.0181339919567108,0.4698804318904876,0.2440072119235992,34.1476507,-118.144155
Perth,0.4528914403170347,0.8026852905750275,0.6277883654460311,-31.9558967,115.8605784
Peru,0.1464578110724687,0.6139078736305237,0.3801828423514962,-6.8699697,-75.0458515
Philadelphia,0.2069478198885917,0.8451080560684204,0.5260279379785061,39.9527237,-75.1635262
Philippines,0.1598468512296676,0.7433545112609863,0.45160068124532693,12.7503486,122.7312101
Pittsburgh,0.4453914135694504,0.9323114514350892,0.6888514325022698,40.4416941,-79.9900861
Poland,0.424218600988388,0.98881915807724,0.706518879532814,52.215933,19.134422
Ponce,0.4622575312852859,0.7509677112102509,0.6066126212477684,18.0668224,-66.6140412
Portsmouth,0.1288038402795791,0.8598835587501525,0.49434369951486584,50.800031,-1.0906023
Prague,0.4342303395271301,0.9473792791366578,0.6908048093318939,50.0596288,14.4464593
Qatar,0.4018730878829956,0.8278184771537781,0.6148457825183868,25.3336984,51.2295295
Rochester,0.2695668511092662,0.7761951446533203,0.5228809978812933,43.157285,-77.615214
Romania,0.2290180593729019,0.61244295835495,0.42073050886392593,45.9852129,24.6859225
Rome,0.2581217922270298,0.6979040622711181,0.47801292724907396,41.8933203,12.4829321
Rotterdam,0.555938395857811,0.933221423625946,0.7445799097418785,51.9244424,4.47775
Russia,0.5530432224273681,0.859342098236084,0.7061926603317261,64.6863136,97.7453061
Rutherford,0.2257632434368133,0.864293920993805,0.5450285822153091,35.3994626,-81.9023191
Rwanda,0.4303023651242256,0.8331006586551666,0.631701511889696,-1.9646631,30.0644358
Sacramento,0.1621930569410324,0.996718657016754,0.5794558569788932,38.5810606,-121.493895
Salisbury,0.0514809072017669,0.5377818822860718,0.29463139474391936,51.0690613,-1.7954134
Salzburg,0.6665555953979492,0.9946085691452028,0.8305820822715759,47.7981346,13.0464806
Scotland,0.4258130848407745,0.9972864031791688,0.7115497440099716,56.7861112,-4.1140518
Seattle,0.6152449250221252,0.0788394659757614,0.34704219549894333,47.6038321,-122.330062
Senegal,0.0928956784307956,0.5212226748466492,0.3070591766387224,14.4750607,-14.4529612
Seville,-0.0122357493266463,0.4723511695861816,0.23005771012976767,37.3886303,-5.9953403
Shanghai,0.1513252921402454,0.5910607099533081,0.3711930010467767,31.2312707,121.4700152
Shrewsbury,0.3255810379981995,0.8363882064819336,0.5809846222400665,52.707755,-2.7540658
Siena,0.5314990110695362,0.9018234729766844,0.7166612420231103,43.1672059,11.467561
Singapore,0.2785887792706489,0.8412293195724487,0.5599090494215488,1.357107,103.8194992
Sofia,0.3555571801960468,0.9037369370460512,0.629647058621049,42.6977028,23.3217359
Spain,0.4988000988960266,0.9899565219879152,0.7443783104419709,39.3260685,-4.8379791
Springfield,0.4713089019060135,0.9010426521301268,0.6861757770180701,39.7990175,-89.6439575
Stockholm,0.4484578609466553,0.9497319102287292,0.6990948855876922,59.3251172,18.0710935
Stuttgart,0.2927129596471786,0.8710707783699035,0.5818918690085411,48.7784485,9.1800132
Sudan,0.5187977373600006,0.8887386202812195,0.70376817882061,14.5844444,29.4917691
Surrey,0.4313319355249405,0.9031425595283508,0.6672372475266456,51.2715316,-0.3414524
Sweden,0.4249944269657135,0.9978901147842408,0.7114422708749771,59.6749712,14.5208584
Switzerland,0.2843875885009765,0.590951219201088,0.43766940385103226,46.7985624,8.2319736
Sydney,0.2693040624260902,0.6437944293022155,0.45654924586415285,-33.8698439,151.2082848
Tacoma,0.4111000478267669,0.7912067621946335,0.6011534050107001,47.2455013,-122.438329
Taiwan,0.5242677211761475,0.9931180000305176,0.7586928606033325,23.9739374,120.9820179
Tbilisi,0.5645887017250061,0.9962501049041748,0.7804194033145904,41.6934591,44.8014495
Tehran,0.1760797172784805,0.652969753742218,0.41452473551034924,35.6892523,51.3896004
Thailand,0.4428790092468261,0.9741816997528076,0.7085303544998168,14.8971921,100.83273
Tibet,0.6075038492679596,0.9949217677116394,0.8012128084897996,31.6692025,87.473225
Tokyo,0.1795655384659767,0.709842038154602,0.44470378831028934,35.6768601,139.7638947
Toronto,0.2540553510189056,0.9609167098999024,0.607486030459404,43.6534817,-79.3839347
Tunisia,0.4175949908792972,0.7261722028255463,0.5718835968524217,33.8439408,9.400138
Turin,0.3211182832717895,0.7642793595790863,0.5426988214254379,45.0677551,7.6824892
Turkey,0.3789995213970542,0.8544402837753295,0.6167199025861918,39.294076,35.2316631
Uganda,0.2032004758715629,0.5778552711009979,0.3905278734862804,1.5333554,32.2166578
Ukraine,0.4195841357111931,0.7936174839735031,0.6066008098423481,49.4871968,31.2718321
Utrecht,0.411230206489563,0.3407737776637077,0.3760019920766353,52.0907006,5.1215634
Vancouver,0.2267704531550407,0.7099093139171601,0.4683398835361004,49.2608724,-123.113952
Venice,0.5407084882259369,0.9924140334129332,0.766561260819435,45.4371908,12.3345898
Vermont,0.411699903011322,0.7714902639389039,0.5915950834751129,44.5990718,-72.5002608
Vernon,0.3197294563055038,0.8171553134918212,0.5684423848986625,49.0932008,1.4857205
Verona,0.3432499915361404,0.8852984666824341,0.6142742291092872,45.4424977,10.9857377
Vienna,0.3867435246706009,0.9086350440979004,0.6476892843842507,48.2083537,16.3725042
Vietnam,0.3260851234197616,0.6965680360794068,0.5113265797495842,15.9266657,107.9650855
Virginia,0.0852322574704885,0.4194058418273926,0.25231904964894053,37.1232245,-78.4927721
Wales,0.4612480640411377,0.8351867139339447,0.6482173889875412,52.2928116,-3.73893
Warsaw,0.4183744490146637,0.8493498802185059,0.6338621646165847,52.2337172,21.0714322
Warwickshire,0.0885988980531692,0.5457091093063354,0.3171540036797523,52.3213064,-1.5536906
Wellington,0.1892637148499489,0.7818607807159423,0.4855622477829456,-41.2887953,174.7772114
Westminster,0.2878156840801239,0.6016394324600697,0.4447275582700968,51.5004439,-0.1265398
Windsor,0.6518527448177338,0.9546436071395874,0.8032481759786606,42.2858536,-82.9780695
Winnipeg,0.1855638980865478,0.6126103080809117,0.39908710308372974,49.8955367,-97.1384584
Wisconsin,0.4430049479007721,0.9966960549354552,0.7198505014181137,44.4308975,-89.6884637
Wolverhampton,0.3941303193569183,0.9856767416000366,0.6899035304784774,52.5847651,-2.127567
Zagreb,0.276315738260746,0.8261272728443145,0.5512215055525302,45.8130967,15.9772795
